,id,text
59,1520602410053697537,RT @crypto_klay: Death cries of $FTM are based. W/ $11MM left in potent. LIQs. The network has proven LIQs will get absorbed. @Screamdotsh…
60,1520602407536717824,"RT @DrShridhar3: @CryptoGemsCom Time to buy #ArchieNeko as it's new #1000Xgems in #Cryptos 
#BTC #ETH #Etherum #sundaygame in #UtilityCoins…"
61,1520602406022946817,RT @Andre88612062: Come and download our $ENQ mobile miner https://t.co/yD8cKx27kc buy some @kucoincom come join us https://t.co/mNYfgJtHPc…
62,1520602404961800193,RT @CryptoTrading4L: Be greedy when others are fearfull! #Bitcoin #cryptotrading #BTC https://t.co/qPjtcl83Yb
63,1520602402885361664,@JB__nfts @psychedelic_nft Thank for my btc bonus. Gemini love https://t.co/0Nv77WA7rj
64,1520602400729419777,$xmr the only threat to $btc and probably only chance of making money on this fucking hell https://t.co/7rjNJwGqRr
65,1520602399907655680,"RT @HiNeighbours: 🎁 Giveaway / $NEIBR 🪙

🏡 1 $NEIBR Tokens 🏡

- NFT’s ✅
- Ecosystem ✅
- Virtual Reality Game ✅

👇 Requirements 👇 

💚Like +…"
66,1520602387966476289,"I am claiming my free Lightning sats from @_bitcoiner's zesty faucet! ⚡

@boltcoiner unlock me 0f4f5c91-722c-429c-a002-f6bf2ff2530c

#Bitcoin #BTC #LN #LightningNetwork #boltcoiner
https://t.co/rdQW4tN1Oi"
67,1520602385835769856,"RT @BSCIDOLAUNCHER: 🔥 #VLX 🔥Coin
#KUCOIN Exchange
 ▶️ A  Real🚀 GEM 
https://t.co/pmmVRLrGDG
Buying Zone 450-476
Buy &amp; hold 4 upcoming mega…"
68,1520602384967168001,"RT @Ruthless_Kitty: With so much style, it's hard to be humble. 
It's easy to be Ruthless.

- Follow, Like &amp; Retweet for Whitelist consider…"
69,1520602373306998785,"RT @Rager: It's been a couple months so let's do a weekend $BTC giveaway

How about $1,000 for three followers

Same rules as always:

☑️ S…"
70,1520602372867002368,RT @DrShridhar3: @ToThemoon0737 @ArchieNeko_ @AdamEShelton @JakeGagain @austinahilton @Yourpop8 @1goonrich Time to buy #ArchieNeko as it's…
71,1520602371729944576,@Zero8Moba Wooooow is the best 💯l Love you   0x8fbF76cA3c180b5370e048dC11cDfC84D7AbBcb1  #cryptocurrecy #BTC #Ethereum #shiba #Dog #SOL #BNB #BSC #NFTCollection #Giveaway
72,1520602361453981696,"RT @yadae32: 🔥 40000 $bttnew Tokens #Giveaway 🔥
Follow me to receive gifts 😁
Follow me!!!

#BTC #ETH #USDT #BNB #XRP #ADA #BSC #TRX #BttNew…"
73,1520602360938401793,"@khoshy @NightmarePrjct @gankpad it is a launchpad dedicated to P2E games and metaverse.

The private sale will be held on May, 3rd on GankHub
https://t.co/2vIBrBI8TV

$Matic $BTC $ADA $BNB $BSC $AMC $shib $etc $sol $dcr $fil $eth  #Bnb #BNB #NEXTGEM #1000xgem #100x #GankPad

TG: https://t.co/VYYlGNhE5J"
