,open,high,low,Volume USD,compound,positive,negative,neutral,polarity,subjectivity,price_change
45,223.72,224.49,221.99,125559.30261299553,0.9972,0.071,0.024,0.905,0.1687479385693672,0.4232086167800455,0.0
46,223.29,226.77,222.55,135649.6729076136,0.995,0.067,0.024,0.909,0.2063333333333333,0.5148333333333334,1.0
47,221.62,226.44,221.62,86610.2224920336,0.9714,0.053,0.035,0.912,0.08725853000046548,0.4118279569892471,1.0
48,219.49,221.79,210.82,95240.0460927339,0.9931,0.053,0.027,0.92,0.10672649110149111,0.4288786676286677,1.0
49,227.62,227.62,215.13,17394.148859973302,0.9939,0.066,0.034,0.9,0.20415870893812071,0.44191558441558454,0.0
50,227.77,231.17,227.26,83124.3589547514,0.9999,0.161,0.038,0.802,0.17598317175781966,0.5271294433266265,0.0
51,231.68,233.61,227.9,32343.784659972003,0.9963,0.07,0.028,0.902,0.143828125,0.38208333333333333,0.0
52,230.28,235.61,228.44,86287.4117982209,0.9992,0.091,0.026,0.884,0.2656124786066647,0.46353266888150596,1.0
53,227.47,231.05,224.87,50799.3858710652,0.999,0.098,0.051,0.85,0.10878159905937683,0.3929771702919852,1.0
54,231.73,234.15,220.5,127200.5974446048,0.9992,0.114,0.036,0.85,0.1241312741312741,0.41500965250965255,0.0
55,231.22,235.05,225.85,62711.385762732,0.9829,0.059,0.027,0.914,0.025781250000000006,0.519184027777778,1.0
80,262.51,264.73,262.51,20760.3167926212,0.995,0.065,0.022,0.913,0.2038837252072546,0.4462718218600572,1.0
81,264.28,265.58,263.1,81800.337920945,0.9984,0.164,0.031,0.805,0.3162442396313364,0.45595238095238094,0.0
82,262.83,263.4,262.22,6397.413866225998,0.996,0.078,0.049,0.873,0.12912788667643035,0.49064099600507366,1.0
83,265.51,265.51,262.8,13839.951062268,0.9984,0.082,0.047,0.871,0.12629425321172896,0.4120856624497401,0.0
84,268.5,268.5,265.82,16252.2348,0.9997,0.117,0.053,0.83,0.12435926623750464,0.47944076217392245,0.0
85,268.68,269.03,267.41,49558.274447819196,0.9989,0.096,0.06,0.844,0.12737275160240283,0.43466408268733825,0.0
86,267.14,268.14,267.14,13117.5191153454,0.9992,0.084,0.042,0.874,0.12692819188912943,0.45508163855820105,1.0
87,266.92,266.92,265.95,5597.894350408799,0.988,0.059,0.04,0.902,0.10175553242347136,0.48934676646508674,0.0
88,267.05,267.05,266.49,6700.947452608501,0.9999,0.126,0.029,0.845,0.15679187710437714,0.41734623015873024,0.0
89,268.06,268.06,266.01,39459.0517037032,0.9996,0.111,0.052,0.837,0.16856922533097035,0.43161236042108536,0.0
90,266.33,268.38,266.33,25075.474260467403,0.9999,0.146,0.036,0.818,0.19274561087061096,0.46732443482443475,1.0
91,265.19,265.96,265.18,8616.6378476744,0.9998,0.126,0.058,0.815,0.18673802484778101,0.4624366487171363,1.0
92,264.89,266.92,264.53,39253.878115715896,0.9997,0.102,0.026,0.872,0.10524080086580086,0.44303481240981235,0.0
93,264.4,265.11,263.12,49210.3300362408,0.9995,0.109,0.029,0.862,0.2663056470892292,0.4864807456225366,1.0
94,264.42,264.42,261.82,53897.0624031342,0.9875,0.065,0.045,0.89,0.12356638794994959,0.39669987546699886,0.0
95,267.16,267.16,264.43,37836.81767261461,0.9981,0.082,0.028,0.89,0.24005952380952383,0.4940714285714285,0.0
96,268.7,269.25,266.0,16739.625068556,0.9966,0.073,0.037,0.89,0.17649122807017542,0.44172793093845736,0.0
97,264.54,270.63,264.54,61281.778107647995,0.9986,0.092,0.024,0.884,0.14738406570598353,0.4385244321888156,1.0
98,268.13,268.59,263.72,31502.876765526,0.9982,0.082,0.027,0.89,0.17690148998288535,0.45502491694352165,0.0
99,272.97,273.49,269.94,48547.954066900194,0.9991,0.106,0.042,0.852,0.15489874280970173,0.42508480104370505,0.0
