,open,high,low,Volume USD,compound,positive,negative,neutral,polarity,subjectivity,price_change
428,174.21,174.21,174.21,0.0,0.9819,0.068,0.027,0.906,0.15700070200070204,0.5350666900666902,1.0
429,173.4,174.21,173.4,40.506993879899994,0.9949,0.077,0.032,0.891,0.1097292404565132,0.42658048012593464,1.0
430,173.97,174.4,173.4,3699.05887263,0.9982,0.118,0.042,0.84,0.13157139577594124,0.4277458021776205,0.0
431,174.99,174.99,174.99,0.0,0.9953,0.07,0.021,0.909,0.03814935064935065,0.42240259740259734,1.0
432,174.21,174.99,174.2,1428.4196676045,0.9964,0.072,0.009,0.919,0.005357142857142852,0.3272619047619047,1.0
433,175.17,175.73,173.56,31831.1679901358,0.975,0.08,0.025,0.896,0.06743145743145744,0.514819624819625,0.0
434,176.11,176.33,175.24,4017.7236177103996,0.9851,0.072,0.02,0.908,0.11657066052227341,0.36582821300563234,0.0
435,176.4,176.68,176.11,1393.0352582619,0.9733,0.091,0.042,0.867,-0.07169312169312167,0.417989417989418,0.0
436,175.46,176.4,175.46,1557.311192136,0.7641,0.045,0.031,0.924,-0.01808862433862434,0.3064616402116403,1.0
437,175.44,175.88,175.44,12294.449096673201,0.9981,0.094,0.019,0.887,0.08745255586164676,0.4407269666360574,1.0
438,177.7,177.84,177.34,1419.3662719392,0.9974,0.111,0.042,0.848,0.11357694192599851,0.42030364289798244,1.0
439,178.71,178.71,177.31,9184.5207706371,0.992,0.111,0.061,0.828,0.06786414565826329,0.3825949268596327,1.0
464,172.9,173.59,172.19,21529.7303401332,0.9841,0.1,0.078,0.822,0.08076190476190477,0.5061362433862434,1.0
465,174.66,174.66,172.5,1703.872684725,0.9968,0.111,0.052,0.837,0.12027015178913911,0.4300839772042303,0.0
466,176.15,176.15,173.6,4366.495007336,0.9955,0.096,0.02,0.884,0.08564958592132506,0.3382505175983437,0.0
467,175.64,176.06,175.64,9610.9176476474,0.9982,0.115,0.041,0.844,0.05995427793180601,0.4151973182872057,1.0
468,178.59,178.59,177.89,2001.3795009392002,0.9943,0.082,0.041,0.877,0.06791915949219321,0.4951529743664576,0.0
469,178.26,178.26,178.04,2938.505954697601,0.9983,0.111,0.047,0.842,0.10200649350649353,0.44753354978354964,0.0
470,177.04,177.45,177.04,1438.1225859,0.999,0.114,0.06,0.826,0.08660211811997527,0.4734123763141621,1.0
471,176.56,179.85,176.56,20762.601073499398,0.9942,0.074,0.039,0.887,0.031578576462297385,0.368827519379845,1.0
472,176.23,177.22,175.95,13096.428363917998,0.9973,0.079,0.039,0.882,0.037868566618566614,0.41946632328576783,0.0
473,178.07,178.07,178.07,284.91200000000003,0.9922,0.086,0.056,0.859,0.057490366990367,0.45709246259246245,1.0
474,180.35,180.35,178.63,4075.7085351337,0.9971,0.083,0.046,0.871,0.05270128956837816,0.494473581973582,0.0
475,179.8,179.8,178.96,5135.0589117936,0.9985,0.121,0.074,0.805,0.04875478067551238,0.46952644916059544,0.0
476,178.5,178.67,178.5,1077.8129977563,0.9993,0.124,0.041,0.835,0.10058382660423479,0.45051142168489094,1.0
584,176.66,176.66,176.66,0.0,0.9927,0.062,0.039,0.899,-0.019692104531554067,0.3803908349550551,1.0
585,174.76,176.66,174.76,97.8587100458,-0.8411,0.087,0.091,0.822,0.040468514936600045,0.4334881489668721,1.0
586,172.75,174.88,172.75,55925.4704348367,0.9956,0.085,0.056,0.858,0.03878937154799223,0.4406525849629296,1.0
587,171.94,173.74,171.94,1837.5038297012,0.7607,0.066,0.061,0.873,0.02123373051590874,0.4613447058991613,1.0
588,171.65,171.99,171.65,1343.3014756161,0.9992,0.101,0.053,0.846,0.045935374149659876,0.40018636621315196,1.0
589,171.35,172.08,171.29,2667.2527218744,0.999,0.096,0.048,0.856,0.0503763059163059,0.41895809523809535,1.0
590,172.74,172.74,172.74,0.0,0.9955,0.088,0.064,0.848,0.04944840106130426,0.45786464879206773,1.0
591,171.97,172.74,171.97,1301.7425942628,0.9988,0.086,0.037,0.877,0.06445409695409693,0.36930823680823677,1.0
592,172.94,172.94,172.94,0.0,0.998,0.09,0.058,0.851,0.04747601152128707,0.429458050698208,1.0
593,172.94,172.94,172.94,0.0,1.0,0.152,0.024,0.824,0.28772619873764904,0.5388008355088509,1.0
594,172.68,172.94,172.55,483.581417014,0.9957,0.082,0.029,0.89,0.10338710768398268,0.3911948728354979,1.0
595,171.7,172.73,171.7,178.2581079209,0.9989,0.115,0.045,0.84,0.10789670100014925,0.43088396278051455,1.0
596,172.06,172.06,171.62,1335.3197472674,0.9092,0.064,0.045,0.892,0.036608126721763085,0.33393988587170403,0.0
597,170.67,171.32,170.67,23899.051057508797,0.9711,0.082,0.061,0.858,0.06794154482833728,0.41895368782161235,1.0
598,173.12,173.12,170.62,22581.623255158403,0.9567,0.062,0.032,0.906,0.10902248289345061,0.50955522971652,0.0
599,173.43,173.43,173.43,0.0,0.982,0.074,0.053,0.873,0.009247648902821313,0.4145114942528736,1.0
600,173.43,173.43,173.43,0.0,0.9911,0.073,0.03,0.897,0.0873820754716981,0.48487571129080564,1.0
601,172.54,173.43,172.54,22.9619498985,-0.9093,0.096,0.104,0.801,0.0034844054580896815,0.47190197716513504,1.0
602,174.67,174.67,174.67,0.0,-0.9956,0.093,0.124,0.783,0.06824804164089879,0.4840498093176663,1.0
603,174.67,174.67,174.67,0.0,0.9952,0.103,0.067,0.83,0.1410074145712443,0.40539893912234337,1.0
604,174.67,174.67,174.67,0.0,0.9991,0.134,0.076,0.79,0.01679404501569449,0.4403739158893798,1.0
605,174.67,174.67,174.67,0.0,0.9915,0.103,0.065,0.832,0.09827823691460053,0.5140782828282826,1.0
606,174.67,174.67,174.67,0.0,-0.432,0.076,0.072,0.852,0.06589035443722943,0.40143874007936503,1.0
607,174.67,174.67,174.67,0.0,0.9938,0.082,0.025,0.892,0.1361736411736412,0.4929551820728292,1.0
632,170.91,173.07,170.91,5259.57595488,0.9818,0.058,0.036,0.907,0.024848828420256996,0.4644935752078609,1.0
633,171.85,171.85,171.85,1245.357331701,-0.968,0.062,0.073,0.865,0.005301484230055661,0.4030816670102384,1.0
634,168.8,172.18,168.73,8133.122011582,-0.9898,0.077,0.095,0.828,0.04613420620773562,0.4468380584557052,1.0
635,169.95,171.18,169.95,22794.992266769103,0.9368,0.081,0.071,0.848,0.02172813122180211,0.5293726140245126,1.0
636,172.07,172.07,171.7,24617.175977444702,0.9912,0.074,0.049,0.877,0.04940840584779979,0.3944113966841239,0.0
637,173.43,173.43,173.43,0.0,0.9945,0.108,0.083,0.808,0.015307895468445938,0.4783610349894753,1.0
638,172.36,173.43,172.36,1495.1972428227,0.9995,0.11,0.048,0.843,0.13897740914547635,0.4425382274121769,1.0
639,171.9,172.8,171.9,53060.327497181395,0.9984,0.091,0.044,0.865,0.06472896255790989,0.4185536782905202,1.0
640,173.46,174.04,173.46,2623.945338399001,0.9995,0.106,0.042,0.852,0.1473276448069837,0.47065608863129516,1.0
641,172.63,173.94,171.31,4438.7418740184,0.9997,0.112,0.045,0.843,0.04230294215588332,0.4812450458038692,1.0
642,174.92,174.92,174.92,1291.0780199728,0.9996,0.123,0.038,0.839,0.1981092981092981,0.4799906883240218,1.0
643,176.23,176.23,176.23,0.0,0.9984,0.09,0.023,0.888,0.14022271709771714,0.40434270012394996,1.0
644,176.23,176.23,176.23,10.0994276106,0.9718,0.072,0.053,0.875,0.11011980709349131,0.4195015948963316,1.0
645,175.28,175.78,175.28,1066.0352614725,0.9613,0.042,0.033,0.925,0.04671837421837422,0.36631433381433387,1.0
646,174.3,174.64,174.19,25233.319062271203,0.9962,0.07,0.024,0.906,0.17129438989195084,0.4984316158096645,1.0
647,174.49,174.49,174.49,0.0,0.9904,0.069,0.035,0.896,0.16518828393828391,0.49250194250194246,1.0
648,173.36,174.49,173.36,20.331669024600004,0.9864,0.053,0.021,0.926,0.14946801761456938,0.4307958277354829,1.0
649,172.55,172.55,172.55,1246.13922461,0.9982,0.08,0.028,0.892,0.10058930795232165,0.4587462195338909,1.0
650,173.5,173.5,173.5,20.82,0.9958,0.092,0.037,0.871,0.11582431457431454,0.48494047619047626,1.0
651,172.14,173.01,172.14,875.2004551775999,0.9614,0.079,0.066,0.855,0.08255781499202554,0.44273524720893154,1.0
652,167.79,169.82,167.22,17473.089548283602,-0.9577,0.095,0.1,0.805,0.0212797619047619,0.4601190476190474,1.0
653,169.75,169.75,169.75,0.0,0.9877,0.094,0.069,0.837,0.07852257696007696,0.47871723184223164,1.0
654,169.75,169.75,169.75,0.0,0.9884,0.107,0.078,0.815,0.04922274695001967,0.4435335497835497,1.0
655,168.43,169.75,168.43,235.3965874225,-0.4823,0.075,0.073,0.852,0.03295484196169127,0.544060418272747,1.0
680,173.71,173.71,173.71,10.0999996848,0.9122,0.093,0.089,0.818,0.06576145577044855,0.3669404735951499,1.0
681,171.47,174.53,171.42,33319.596060225005,-0.997,0.069,0.098,0.833,0.012180297876726464,0.4380646516182229,1.0
682,170.15,172.5,169.31,28697.674291503998,0.9993,0.115,0.051,0.834,0.14637071874204224,0.4220072043969103,1.0
683,163.6,169.98,163.6,3177.0448222428004,0.9983,0.111,0.078,0.812,0.037725590850590844,0.42874395686895667,1.0
684,163.39,164.35,163.17,220.3235281611,0.9987,0.103,0.071,0.825,0.045817953975848716,0.42403698640540755,0.0
685,165.73,166.22,165.73,18583.423762064398,0.9991,0.112,0.07,0.818,0.0782564674281542,0.42649242156772277,1.0
686,166.22,166.22,164.78,5593.128703346801,0.997,0.093,0.065,0.841,0.0960191402662993,0.4365867481634526,0.0
687,166.89,166.89,166.89,1242.2575892235,0.9987,0.105,0.067,0.828,0.0922085137085137,0.4686158496158499,1.0
688,168.87,168.87,166.47,45793.7575576078,0.9996,0.108,0.057,0.835,0.09686317983884357,0.39696238618804985,0.0
689,168.0,169.05,168.0,4561.527928986,0.9997,0.113,0.049,0.837,0.09913940306181691,0.421382316597834,1.0
690,169.66,169.66,169.66,1297.409887186,0.9979,0.091,0.059,0.85,0.07605913026367571,0.45712919235646493,1.0
691,168.58,169.78,168.58,6963.7125695232,0.9979,0.096,0.06,0.844,0.09154151404151405,0.4219047619047618,1.0
692,169.03,169.16,168.75,1119.6880352408,0.9952,0.09,0.06,0.85,0.06263927939185669,0.413972382142485,1.0
693,167.11,168.34,167.11,9353.537882556999,0.9987,0.105,0.04,0.855,0.07831855974713117,0.4561305229162371,1.0
694,166.24,167.59,166.24,40404.709166467794,0.9838,0.083,0.054,0.863,0.10603518955791687,0.44907079452533977,1.0
695,165.83,166.06,165.83,2176.3156178070003,0.9962,0.083,0.032,0.885,0.07306922915793884,0.3541151724619467,1.0
696,165.0,167.89,165.0,11526.1174134122,0.9885,0.066,0.044,0.891,0.019723077609675548,0.4065210677066348,1.0
697,163.87,165.0,163.87,15077.9231262,0.9972,0.067,0.035,0.899,0.027154383556822585,0.412383855981417,1.0
698,161.68,163.23,161.35,5419.5938768781,0.9959,0.1,0.069,0.83,0.014883943217276561,0.4435159901826567,1.0
699,161.84,163.73,161.84,1357.9804934242,0.5549,0.082,0.08,0.838,0.04659326368907209,0.4665443139694635,1.0
700,161.49,161.54,160.54,5299.0078589768,0.9968,0.097,0.07,0.833,0.025542127625460966,0.4886619883643691,0.0
701,160.18,161.2,159.99,13264.297092903998,0.6893,0.09,0.087,0.823,0.06249053587016551,0.4579916225749558,1.0
702,164.0,164.55,161.32,17089.7846534766,-0.9821,0.082,0.095,0.823,0.018495984691636866,0.4997444946357991,0.0
703,166.06,167.48,165.56,10672.579083143199,0.9939,0.092,0.073,0.836,0.0358105339105339,0.41735273139558865,0.0
704,166.58,168.31,165.97,15303.337894196102,-0.9944,0.083,0.094,0.823,0.03865125615125616,0.4653249231774878,0.0
705,166.0,168.02,166.0,13429.914508164,-0.994,0.087,0.097,0.816,0.03800226098191214,0.41538262609483534,1.0
706,169.74,170.29,164.42,33171.8045324055,-0.9954,0.077,0.084,0.838,0.041572903975598596,0.41992997853776326,0.0
707,170.59,171.04,168.92,25165.145528399098,0.9998,0.108,0.051,0.841,0.0505383068341784,0.4361373904722533,0.0
708,169.35,169.93,168.78,13717.8100779402,0.9993,0.096,0.075,0.829,0.0321061450369961,0.42823755795032403,1.0
709,170.63,171.07,169.8,11298.021961338001,-0.9897,0.085,0.089,0.826,0.005581676950617702,0.41388743263518846,0.0
710,169.12,170.73,167.42,23633.2214034254,-0.9972,0.093,0.1,0.807,0.023004844498868363,0.4295690018996793,1.0
711,167.44,168.9,167.44,6287.070846894,0.9998,0.1,0.079,0.821,0.030436762558648613,0.43898992071589976,1.0
712,169.63,169.8,167.71,17817.848089116298,0.9917,0.099,0.096,0.805,0.0330675649506818,0.44426644002942717,0.0
713,165.9,169.5,165.9,1596.562063095,0.9956,0.098,0.09,0.812,0.013510215221459763,0.4450957800084439,1.0
714,166.34,167.5,165.23,7018.325206501198,0.9996,0.111,0.082,0.807,0.025461901513441815,0.4330233615778641,0.0
715,161.53,165.58,161.53,2753.0267618524003,0.9937,0.097,0.089,0.815,0.024846225092011606,0.40367494163140244,1.0
716,159.39,162.02,158.85,4881.8209945562985,0.9993,0.082,0.031,0.887,0.03248492781215297,0.3401891956211326,1.0
717,157.91,158.67,157.91,1341.8947147932001,0.9963,0.074,0.041,0.885,0.09948211743513755,0.3837417802182901,1.0
718,158.64,158.64,157.14,2721.0972547903,0.9992,0.101,0.037,0.863,0.0404362502576788,0.346500905557028,0.0
719,159.23,159.28,159.17,1569.1432103688,0.6129,0.054,0.0,0.946,-0.049523809523809526,0.1938095238095238,1.0
752,181.2,181.83,181.2,4777.230517983,-0.9995,0.074,0.099,0.827,-0.02220575955347531,0.4389972696508234,1.0
753,180.63,180.71,180.63,1778.8578786038001,-0.9927,0.075,0.087,0.838,0.035347689971923134,0.45664422234207536,1.0
754,178.88,179.97,178.88,5845.463741042099,0.9949,0.084,0.064,0.853,0.019751410205955656,0.4443410293410292,1.0
755,178.08,178.08,178.08,0.0,0.9998,0.09,0.05,0.86,0.06037009255112703,0.45290220347978954,1.0
756,179.27,179.49,178.08,23224.407230774403,0.9984,0.111,0.046,0.843,0.08114203257060398,0.4230398701827273,0.0
757,178.34,178.34,178.34,0.0,0.9992,0.121,0.054,0.825,0.06492697432017817,0.4103273021476906,1.0
758,178.34,178.34,178.34,3800.2167421999998,0.9875,0.066,0.033,0.9,0.03670851370851373,0.3886926406926407,1.0
759,179.25,179.25,179.25,1414.24814853,0.9979,0.08,0.035,0.885,0.0737442433453071,0.3819472076386972,1.0
760,179.74,180.15,179.74,2542.1789587335,0.9994,0.09,0.035,0.875,0.0637348387348387,0.3952376077376078,1.0
761,180.18,180.18,180.18,876.289646232,1.0,0.091,0.008,0.901,0.07275441699222188,0.3569952574525746,1.0
762,180.07,180.75,180.07,4193.9680809825,0.9998,0.129,0.053,0.819,0.12194240944240949,0.5374389499389498,1.0
763,180.86,181.04,180.23,56888.060047432,0.9994,0.1,0.026,0.874,0.14019300144300148,0.40836418698260807,0.0
764,181.99,181.99,179.93,3753.5856055764,0.9979,0.102,0.056,0.842,0.07025243031821979,0.4250739538239539,0.0
765,183.72,185.51,183.72,12877.7592169575,0.9993,0.12,0.023,0.856,0.04380368308939738,0.38760393046107333,1.0
766,183.2,183.2,183.2,0.0,0.9946,0.081,0.023,0.896,0.1785513868847202,0.4213510769066325,1.0
767,182.87,183.26,182.87,69.92994983999999,0.9959,0.072,0.028,0.901,0.12649112554112554,0.380584632034632,1.0
768,184.82,184.82,182.08,15038.960426704,0.9788,0.061,0.033,0.906,0.044063606847697764,0.4370757083825266,0.0
769,184.16,184.6,184.16,2455.2571701839997,0.9924,0.105,0.047,0.848,0.11196013289036547,0.4491971207087486,1.0
770,183.59,183.59,183.59,0.0,0.9976,0.098,0.045,0.857,0.14789154704944174,0.4510196353354247,1.0
771,182.04,183.59,181.95,9254.6226358223,0.9831,0.06,0.031,0.909,0.07847610722610726,0.4200237262737262,1.0
772,183.31,183.31,182.0,4935.74022942,0.9979,0.102,0.047,0.852,0.06847943722943721,0.3886926807760142,0.0
773,183.68,183.81,183.68,9463.6109383492,0.9947,0.079,0.034,0.887,0.11151987683677822,0.4410211267605634,1.0
774,183.29,183.91,183.29,1533.8712360593,0.9839,0.08,0.056,0.864,0.07142929292929293,0.4467962962962962,1.0
775,179.21,180.99,179.21,12039.6436775442,0.989,0.063,0.035,0.902,0.1008201058201059,0.4318959435626101,1.0
800,195.86,196.66,195.52,10620.0298843498,-0.9949,0.064,0.098,0.838,0.0037349837662337625,0.5049717261904763,1.0
801,196.67,197.47,196.47,3354.7881746813,0.9831,0.105,0.075,0.82,0.02088675213675214,0.529594017094017,1.0
802,190.67,196.42,190.67,2557.8305060644,0.9627,0.14,0.112,0.749,0.1387272727272727,0.5474242424242424,1.0
803,190.0,190.58,188.0,3063.1594011792,0.9075,0.096,0.043,0.861,0.048214285714285716,0.3945833333333333,1.0
804,193.04,193.74,192.64,4217.1155050752,0.9973,0.114,0.061,0.825,0.06370257452574522,0.4655802361595044,0.0
805,193.2,193.44,191.42,11509.982010768601,0.9952,0.087,0.058,0.855,0.06302352529625256,0.4330475753203023,0.0
806,194.71,194.71,193.27,4131.3839099,0.9847,0.073,0.054,0.873,0.07386846309718649,0.4142691528329827,0.0
807,196.22,196.22,194.69,81090.7801316768,0.9989,0.091,0.037,0.872,0.11891219400068954,0.45458299812282094,0.0
808,198.18,198.41,197.5,4177.549991121599,0.9915,0.068,0.038,0.895,0.1159106047722119,0.4462476833682189,1.0
