drop_this,open,high,low,Volume USD,compound,positive,negative,neutral,polarity,subjectivity,price_change
298,78.78390999999999,79.01999,78.14395,315523.5710460501,0.9999,0.106,0.041,0.853,0.22233805724190348,0.5019240268278733,1.0
299,76.10127,78.57717,76.0,31834.160210713268,1.0,0.127,0.033,0.84,0.2660017073135885,0.49072800137156597,1.0
300,76.36316,76.70505,76.25904,7941.4707548192,1.0,0.104,0.032,0.864,0.18673681257014593,0.5054700139927418,0.0
301,76.96,77.07999000000001,76.57002,3472.0997316224043,1.0,0.126,0.029,0.846,0.23416292107679648,0.510190792062802,0.0
302,77.41001,77.41001,76.4628,67063.27786342204,1.0,0.099,0.034,0.867,0.1983649442960668,0.5093590678029462,0.0
303,78.0,78.0,77.45831,3312.271469773945,1.0,0.123,0.031,0.846,0.19269982611668254,0.5136070927301,0.0
304,77.52999,77.91,77.32999000000001,4680.1496640843,0.9999,0.118,0.03,0.852,0.1888241146680637,0.5289040771684083,1.0
368,84.09999,84.5658,84.09999,8348.626582356788,0.9999,0.1,0.026,0.874,0.16524504756300876,0.5295081361464861,1.0
369,84.19,84.19,84.19,488.0585460932,0.9999,0.091,0.028,0.881,0.17432126256241287,0.512532579269305,1.0
370,83.64,83.64,83.64,0.0,0.9999,0.103,0.027,0.87,0.18946789321789315,0.5261173483837036,1.0
371,83.57003,83.72999,83.43378,911.2674947124001,0.9999,0.101,0.038,0.861,0.14295417409388,0.5344965410406587,1.0
372,83.73,83.9,83.49783000000001,2346.2799449615795,0.9999,0.094,0.033,0.873,0.15177441965193653,0.5003843807199512,0.0
373,83.64726999999999,83.71999,83.64726999999999,604.3968538857428,1.0,0.105,0.04,0.855,0.16298016525957712,0.5028026956703433,1.0
374,82.96,82.96,82.96,470.35055275119987,0.9999,0.104,0.042,0.854,0.14926514667286475,0.501087311271875,1.0
375,83.43994,83.45,83.19,10249.0466683758,1.0,0.113,0.037,0.85,0.16219504154848985,0.5001507461538811,0.0
376,83.3888,83.6179,83.3888,2603.124124560745,0.9999,0.103,0.019,0.879,0.20817274911896416,0.5344370425944135,1.0
377,83.61,83.61,83.2488,6694.454025321757,0.9999,0.095,0.027,0.878,0.2169366147056729,0.5300904626016736,0.0
488,93.96,94.1857,93.00344,14399.867867042556,0.9978,0.1,0.024,0.876,0.20339610389610394,0.5380238095238095,0.0
