,created_at,tweet
142,2022-04-08 16:57:53,"👀 j1mmy ↗️ flipped ↗️ LAND #110729  https://t.co/wKuALI7rH5  🏆 status: Bronze 🛒 in: 0.08 ETH 💰 out: 2.2 ETH 😬 hodl: 8 days    Ξ  profit: +2.12 ETH 🔥  💲paid: $271 (03/2022) 💲made: $6,828 (📈 +2,520%)  https://t.co/rRqNIipRoU"
143,2022-04-08 16:57:49,WoWG #16037 was purchased for 4.75 ETH    https://t.co/FKjs5yAk9X
144,2022-04-08 16:57:48,"#FETUSDT Bull Alert!  5X Volume Price:      0.4019 5-min %: 0.4% Volume:  $132,160   #crypto #whale #btc #eth #FET $FET  https://t.co/37QYU5636l"
145,2022-04-08 16:57:47,"@theseller_eth @whynotmeNFT @doodles Really? I’d be embarrassed if I lied to a community of people, was outed, and passed it off as a joke 🤷‍♂️"
146,2022-04-08 16:57:45,Hood Pigeon #1518 was purchased for 0.255 ETH  https://t.co/fyhGdev3Up
147,2022-04-08 16:57:42,LFG!!🔥🔥 #NFTs #ETH #crypto #NFTCommunity #NFT #nftart  https://t.co/xAwlm4d8sY
148,2022-04-08 16:57:41,@Patolin_Oficial @KarafuruNFT @gradyedbertnft @Jejouw @soloandrw_ @lawrdence @rofe_eth @evantan @brandonsalim @fridgeintheopen @jameskwho @Solemaster32 @chrn69 @pandez_ @little_HED @toromilano58 O mais brabo
149,2022-04-08 16:57:39,@gangsterallstar @UsmaNoah @blaxtacy @Cryptovius1 @3antar_eth @Jesture_0 👀 @m_don88
150,2022-04-08 16:57:35,@rROOOOOODY @ApeAweel @strangers_eth @topherjones_ @justmaiko0 @Azukei_eth0 @avacaregina @MoskinTribe @JayakodyRavina @orepeus @_akawashi @funhandsomedw @tehj57 @kazutaNFT @macxxl @daito2four @Blackni70808534 @AldiDuka1
151,2022-04-08 16:57:33,@JanelovesNFT @billionclubnft pays ETH to holders. #BCNFT #BCpartyape #BCcyborg  https://t.co/89H0hEqnSY
152,2022-04-08 16:57:33,@deris_eth @ArtOnBlockchain @veefriends Wait.. how do you know it’s the VVVV lucky Black Cat?!
153,2022-04-08 16:57:33,@Nastradamus_Eth @SpenceD__ @JoeyHammer9 @t88west @0xRalph @RichPark32 @pharmaziz @cyclonicdynasty This is genius...
154,2022-04-08 16:57:31,@soy_eth Banger 🤌
155,2022-04-08 16:57:31,Set a reminder for my upcoming Space!  https://t.co/HpMIKXWpsB
156,2022-04-08 16:57:30,Skywalker #12 SOLD Price: .2 ETH Buyer: @joebart    https://t.co/HIowzSrzgD  https://t.co/0M9hJNuMdC
157,2022-04-08 16:57:27,@PUNKLVUS $ETH address :  0x4587B3f12496eEe8aB023789C12BDf08ff82e7Fe
158,2022-04-08 16:57:26,Might pop out over here!!!  https://t.co/BNYH44cn1j
159,2022-04-08 16:57:24,@C_mingkuang @OkokuNFT 1 ETH FLOOR SOON
160,2022-04-08 16:57:24,@peewhee_eth @gh0stlygh0sts @jejautumn0818 @KidSaiyaN__
161,2022-04-08 16:57:17,Now by a long shot as most searched in past 72 hours.   https://t.co/ExUuCbvLlV $AMC $MGM $EEGI $HMBL $PHIL $ENZC $KYNC $ADA $ETH $TSLA $GGII $VXIT $ENZC $AMC  https://t.co/wbTHJiD0Xd
162,2022-04-08 16:57:16,@SHINRAMEN_eth @ThePossessedNFT Aight cool
163,2022-04-08 16:57:16,#NFT   https://t.co/qeS6AWvlFW
