unix,date,symbol,open,high,low,close,Volume BTC,Volume USD
1649926800,2022-04-14 09:00:00,BTC/USD,41172.36,41220.76,40984.65,41202.24,48.67972366,2005713.6573729983
1649923200,2022-04-14 08:00:00,BTC/USD,41272.61,41341.01,41170.09,41194.45,16.03122658,660397.5617884808
1649919600,2022-04-14 07:00:00,BTC/USD,41195.17,41381.74,41166.82,41274.56,35.42739960,1462250.330434176
1649916000,2022-04-14 06:00:00,BTC/USD,41332.62,41354.90,41167.69,41214.99,26.02582283,1072654.0276802217
1649912400,2022-04-14 05:00:00,BTC/USD,41285.91,41365.00,41247.60,41316.44,12.98854462,536640.4244795529
1649908800,2022-04-14 04:00:00,BTC/USD,41321.97,41430.67,41248.73,41291.43,13.87895213,573081.7803492459
1649905200,2022-04-14 03:00:00,BTC/USD,41430.99,41461.01,41280.71,41337.18,15.93002396,658502.2678388328
1649901600,2022-04-14 02:00:00,BTC/USD,41469.82,41481.91,41350.48,41424.99,17.62502427,730116.4541345073
1649898000,2022-04-14 01:00:00,BTC/USD,41192.35,41504.29,41185.28,41489.83,24.46940215,1015231.3354051346
1649894400,2022-04-14 00:00:00,BTC/USD,41159.29,41280.80,41058.82,41194.80,23.11255380,952117.03128024
1649890800,2022-04-13 23:00:00,BTC/USD,41282.27,41338.94,41081.60,41147.74,26.53333170,1091786.634125358
1649887200,2022-04-13 22:00:00,BTC/USD,41238.26,41399.79,41158.97,41304.84,21.45939732,886376.9727990287
1649883600,2022-04-13 21:00:00,BTC/USD,41268.53,41343.18,41086.50,41223.76,16.64835852,686307.9360224352
1649880000,2022-04-13 20:00:00,BTC/USD,41050.01,41321.48,41001.00,41245.91,20.50720395,845838.2884733446
1649876400,2022-04-13 19:00:00,BTC/USD,41372.97,41557.61,41053.11,41067.61,108.46974034,4454592.993084388
1649872800,2022-04-13 18:00:00,BTC/USD,41035.59,41388.88,40989.63,41376.01,57.50715592,2379416.6584174796
1649869200,2022-04-13 17:00:00,BTC/USD,41019.64,41140.04,40842.86,41046.51,48.40090426,1986688.2007171325
1649865600,2022-04-13 16:00:00,BTC/USD,41181.88,41360.07,40960.10,41020.43,143.67616468,5893658.055924413
1649862000,2022-04-13 15:00:00,BTC/USD,40665.44,41417.03,40665.44,41172.04,175.30166718,7217527.253201648
1649858400,2022-04-13 14:00:00,BTC/USD,40554.40,40965.58,40389.04,40667.82,146.49131337,5957482.3636947535
1649854800,2022-04-13 13:00:00,BTC/USD,39725.15,40593.08,39630.52,40548.79,143.64679163,5824703.5879786275
1649851200,2022-04-13 12:00:00,BTC/USD,39747.85,39945.44,39658.00,39731.37,162.97709427,6475303.233966251
1649847600,2022-04-13 11:00:00,BTC/USD,39820.44,40010.36,39707.05,39721.14,68.12654318,2706063.959368825
1649844000,2022-04-13 10:00:00,BTC/USD,40065.79,40135.53,39759.13,39820.44,31.21416006,1242961.5878196266
1649840400,2022-04-13 09:00:00,BTC/USD,40185.64,40210.05,40037.39,40098.52,29.20892564,1171234.6889540527
1649836800,2022-04-13 08:00:00,BTC/USD,40148.34,40216.05,40030.47,40173.84,39.35317641,1580968.2125871144
1649833200,2022-04-13 07:00:00,BTC/USD,39975.30,40226.34,39929.69,40143.79,56.00231292,2248145.0893747667
1649829600,2022-04-13 06:00:00,BTC/USD,40203.21,40233.07,39881.06,39971.50,23.60031655,943340.0529783249
1649826000,2022-04-13 05:00:00,BTC/USD,40160.34,40221.85,40083.52,40211.49,14.00401868,563122.4571106331
1649822400,2022-04-13 04:00:00,BTC/USD,40094.92,40141.43,39953.97,40141.43,74.50338001,2990672.2134348145
1649818800,2022-04-13 03:00:00,BTC/USD,40062.64,40268.05,40020.20,40093.12,43.93262339,1761395.941490077
1649815200,2022-04-13 02:00:00,BTC/USD,39885.40,40168.54,39721.00,40069.91,32.41395175,1298824.1293668428
1649811600,2022-04-13 01:00:00,BTC/USD,39946.38,39950.56,39584.86,39890.42,46.57678368,1857967.4632443455
1649808000,2022-04-13 00:00:00,BTC/USD,40099.51,40196.50,39914.89,39958.39,32.92917205,1315796.6991509993
1649804400,2022-04-12 23:00:00,BTC/USD,39852.28,40298.99,39836.70,40097.46,99.97108649,4008586.6416893154
1649800800,2022-04-12 22:00:00,BTC/USD,39698.31,39936.05,39568.90,39849.22,135.09852367,5383570.791401037
1649797200,2022-04-12 21:00:00,BTC/USD,39539.77,39763.91,39502.81,39723.59,32.82638687,1303981.9332052632
1649793600,2022-04-12 20:00:00,BTC/USD,39321.10,39603.92,39273.65,39542.95,50.20568020,1985280.70186459
1649790000,2022-04-12 19:00:00,BTC/USD,39665.31,39725.46,39285.90,39299.35,242.09835301,9514307.909363544
1649786400,2022-04-12 18:00:00,BTC/USD,40020.55,40077.54,39644.79,39679.53,115.64499099,4588738.889337434
1649782800,2022-04-12 17:00:00,BTC/USD,40102.06,40234.84,39961.09,40015.15,32.27562246,1291513.8740802691
1649779200,2022-04-12 16:00:00,BTC/USD,40180.29,40393.87,39939.19,40099.39,27.65113490,1108793.642297711
1649775600,2022-04-12 15:00:00,BTC/USD,40000.00,40389.04,39982.04,40194.83,55.15551155,2216966.4103152864
1649772000,2022-04-12 14:00:00,BTC/USD,40412.79,40456.56,39791.13,40025.33,142.40533364,5699820.472701102
1649768400,2022-04-12 13:00:00,BTC/USD,40635.76,40635.76,40169.00,40418.86,110.58203947,4469599.971852404
1649764800,2022-04-12 12:00:00,BTC/USD,40392.74,40691.01,40219.00,40635.76,295.59537686,12011742.791192513
1649761200,2022-04-12 11:00:00,BTC/USD,40148.26,40449.68,40116.54,40389.43,40.51477801,1636368.7904004343
1649757600,2022-04-12 10:00:00,BTC/USD,40206.30,40270.17,40102.72,40161.08,51.76452994,2078919.4280827355
1649754000,2022-04-12 09:00:00,BTC/USD,40194.44,40258.13,40000.00,40202.02,110.66995826,4449155.875367685
1649750400,2022-04-12 08:00:00,BTC/USD,40205.85,40345.45,40117.90,40179.69,85.51519738,3435974.1210172125
1649746800,2022-04-12 07:00:00,BTC/USD,39938.52,40203.82,39887.58,40199.35,94.30842010,3791137.187546935
1649743200,2022-04-12 06:00:00,BTC/USD,40138.04,40199.77,39848.02,39957.04,73.56078289,2939271.1443670457
1649739600,2022-04-12 05:00:00,BTC/USD,39916.43,40160.45,39879.24,40124.56,74.39346680,2985005.122224608
1649736000,2022-04-12 04:00:00,BTC/USD,39763.68,39946.49,39636.68,39900.90,69.30044366,2765150.0724332943
1649732400,2022-04-12 03:00:00,BTC/USD,39495.20,39761.65,39491.50,39761.65,33.81669803,1344607.7112245494
1649728800,2022-04-12 02:00:00,BTC/USD,39500.33,39562.11,39296.59,39496.13,42.66158458,1684967.4905776754
1649725200,2022-04-12 01:00:00,BTC/USD,39564.51,39756.34,39432.19,39514.91,37.06441004,1464596.8269336964
1649721600,2022-04-12 00:00:00,BTC/USD,39545.37,39859.44,39374.56,39570.01,58.84026379,2328309.826572938
1649718000,2022-04-11 23:00:00,BTC/USD,39740.82,39847.80,39401.00,39524.86,58.37556775,2307286.142739265
1649714400,2022-04-11 22:00:00,BTC/USD,39417.77,39983.99,39218.15,39779.20,148.35070556,5901272.386612351
1649710800,2022-04-11 21:00:00,BTC/USD,39814.84,39913.99,39268.71,39417.77,189.87525281,7484459.043956433
1649707200,2022-04-11 20:00:00,BTC/USD,39981.10,40263.84,39492.65,39827.76,201.09161205,8009028.462740509
1649703600,2022-04-11 19:00:00,BTC/USD,40522.31,40602.13,39782.99,40001.68,190.78323922,7631650.084641891
1649700000,2022-04-11 18:00:00,BTC/USD,40471.80,40528.41,40257.36,40513.18,33.71463593,1365887.1140665575
1649696400,2022-04-11 17:00:00,BTC/USD,40772.16,40908.13,40269.24,40471.90,120.04996777,4858650.2905906625
1649692800,2022-04-11 16:00:00,BTC/USD,40570.77,40826.39,40494.39,40766.89,128.21508532,5226930.279581054
1649689200,2022-04-11 15:00:00,BTC/USD,40784.73,40990.41,40539.56,40596.93,121.00834007,4912567.111237985
1649685600,2022-04-11 14:00:00,BTC/USD,41125.28,41235.80,40742.16,40808.94,73.44946152,2997394.668201989
1649682000,2022-04-11 13:00:00,BTC/USD,41147.68,41188.85,40705.29,41145.91,98.48828916,4052390.2818313357
1649678400,2022-04-11 12:00:00,BTC/USD,41073.43,41256.96,40930.59,41158.44,61.07155248,2513609.8284549313
1649674800,2022-04-11 11:00:00,BTC/USD,41578.94,41578.94,40979.73,41053.70,169.57386075,6961634.407072274
