unix,date,symbol,open,high,low,close,Volume ETH,Volume USD
1649671200,2022-04-11 10:00:00,ETH/USD,3082.51,3091.52,3058.76,3076.76,911.75366168,2805247.1961105573
1649667600,2022-04-11 09:00:00,ETH/USD,3161.27,3161.91,3078.28,3078.28,2486.87489535,7655297.252857998
1649664000,2022-04-11 08:00:00,ETH/USD,3180.91,3181.47,3145.34,3162.10,305.07020218,964662.4863133781
1649660400,2022-04-11 07:00:00,ETH/USD,3176.51,3191.19,3168.41,3180.57,111.04364472,353182.08508709044
1649656800,2022-04-11 06:00:00,ETH/USD,3186.69,3186.69,3171.57,3177.45,120.30602757,382266.38730229647
1649653200,2022-04-11 05:00:00,ETH/USD,3178.05,3186.86,3173.56,3186.33,89.23685434,284338.06608917215
1649649600,2022-04-11 04:00:00,ETH/USD,3174.57,3183.37,3165.82,3179.71,6418.99745632,20410550.40183527
1649646000,2022-04-11 03:00:00,ETH/USD,3163.59,3177.84,3154.23,3176.45,141.68467096,450054.27307089197
1649642400,2022-04-11 02:00:00,ETH/USD,3186.81,3198.96,3156.35,3163.44,167.89043401,531111.3145645944
1649638800,2022-04-11 01:00:00,ETH/USD,3205.51,3215.21,3186.68,3190.44,87.25970482,278396.85264592076
1649635200,2022-04-11 00:00:00,ETH/USD,3203.04,3212.97,3177.25,3205.31,186.90526423,599089.3124890613
1649631600,2022-04-10 23:00:00,ETH/USD,3220.42,3230.66,3193.91,3202.37,205.38120874,657706.6214327138
1649628000,2022-04-10 22:00:00,ETH/USD,3271.60,3275.90,3206.06,3224.27,529.52007587,1707315.6950253649
1649624400,2022-04-10 21:00:00,ETH/USD,3289.56,3293.28,3269.18,3271.00,189.19179461,618846.36016931
1649620800,2022-04-10 20:00:00,ETH/USD,3294.94,3299.29,3286.31,3289.56,155.50352585,511538.17849512596
1649617200,2022-04-10 19:00:00,ETH/USD,3290.62,3301.56,3286.45,3293.41,160.30493192,527949.8658346472
1649613600,2022-04-10 18:00:00,ETH/USD,3298.27,3304.07,3288.07,3289.54,80.32071395,264218.201367083
1649610000,2022-04-10 17:00:00,ETH/USD,3279.82,3308.51,3279.82,3297.65,255.69682915,843198.6486464975
1649606400,2022-04-10 16:00:00,ETH/USD,3258.35,3280.61,3253.37,3279.82,45.69777897,149880.4894213854
1649602800,2022-04-10 15:00:00,ETH/USD,3251.42,3261.86,3248.15,3258.35,81.45994349,265425.0068706415
1649599200,2022-04-10 14:00:00,ETH/USD,3239.80,3254.62,3238.27,3251.35,97.76016091,317852.49917472847
1649595600,2022-04-10 13:00:00,ETH/USD,3243.61,3248.27,3233.12,3241.59,44.67942574,144832.3796845266
1649592000,2022-04-10 12:00:00,ETH/USD,3252.28,3261.75,3241.60,3245.00,90.92366426,295047.2905237
1649588400,2022-04-10 11:00:00,ETH/USD,3245.32,3256.44,3242.77,3253.25,92.13432395,299735.9893903375
