unix,date,symbol,open,high,low,close,Volume BCH,Volume USD
1649710800,2022-04-11 21:00:00,BCH/USD,296.23,297.00,290.42,291.91,219.27200113,64007.68984985831
1649707200,2022-04-11 20:00:00,BCH/USD,299.49,299.49,296.29,296.43,218.67190188,64820.9118742884
1649703600,2022-04-11 19:00:00,BCH/USD,303.86,303.86,298.88,300.73,96.24715599,28944.4072208727
1649700000,2022-04-11 18:00:00,BCH/USD,302.42,303.44,301.33,303.44,90.95970209,27600.8120021896
1649696400,2022-04-11 17:00:00,BCH/USD,303.46,303.78,300.37,302.91,344.92189444,104480.29104482042
1649692800,2022-04-11 16:00:00,BCH/USD,301.60,303.46,300.00,303.34,89.84489077,27253.5491661718
1649689200,2022-04-11 15:00:00,BCH/USD,302.77,304.18,301.86,302.05,89.36158296,26991.666133068004
1649685600,2022-04-11 14:00:00,BCH/USD,303.73,304.91,301.58,302.31,135.85048516,41068.960168719605
1649682000,2022-04-11 13:00:00,BCH/USD,303.89,303.90,300.79,303.90,95.34412558,28975.079763761998
1649678400,2022-04-11 12:00:00,BCH/USD,304.21,304.85,303.26,303.81,116.81378013,35489.1945412953
1649674800,2022-04-11 11:00:00,BCH/USD,307.30,307.30,303.82,304.28,143.64781824,43709.15813406719
1649671200,2022-04-11 10:00:00,BCH/USD,305.20,307.77,304.08,307.41,221.60489228,68123.55993579481
1649667600,2022-04-11 09:00:00,BCH/USD,314.64,314.64,305.49,305.64,430.51575834,131582.8363790376
1649664000,2022-04-11 08:00:00,BCH/USD,317.58,317.58,313.60,314.44,200.74689107,63122.8524280508
1649660400,2022-04-11 07:00:00,BCH/USD,316.40,317.58,316.11,317.25,209.60595312,66497.48862732001
1649656800,2022-04-11 06:00:00,BCH/USD,317.15,317.15,316.01,316.36,175.26024006,55445.3295453816
1649653200,2022-04-11 05:00:00,BCH/USD,317.34,317.92,316.38,317.20,125.32475505,39753.01230186
1649649600,2022-04-11 04:00:00,BCH/USD,314.91,316.45,314.91,316.45,96.55366791,30554.408210119498
1649646000,2022-04-11 03:00:00,BCH/USD,313.00,314.80,312.00,314.62,153.51633542,48299.309449840395
1649642400,2022-04-11 02:00:00,BCH/USD,318.42,321.02,314.00,314.16,1275.76921033,400795.65511727287
1649638800,2022-04-11 01:00:00,BCH/USD,319.52,320.74,318.65,318.65,246.18747879,78447.6401164335
1649635200,2022-04-11 00:00:00,BCH/USD,319.83,320.45,317.18,319.60,231.09262672,73857.203499712
1649631600,2022-04-10 23:00:00,BCH/USD,322.14,322.14,318.64,319.98,180.43888438,57736.8342239124
1649628000,2022-04-10 22:00:00,BCH/USD,326.57,326.90,321.44,322.45,389.47796974,125587.17134266299
1649624400,2022-04-10 21:00:00,BCH/USD,329.87,329.87,326.74,326.74,239.45636966,78239.9742227084
1649620800,2022-04-10 20:00:00,BCH/USD,331.72,331.79,330.18,330.26,105.65442653,34893.430905797795
1649617200,2022-04-10 19:00:00,BCH/USD,330.96,331.73,330.96,331.73,5.13566096,1703.6528102608002
1649613600,2022-04-10 18:00:00,BCH/USD,332.11,332.40,331.93,331.93,20.00956055,6641.7734333615
1649610000,2022-04-10 17:00:00,BCH/USD,330.13,332.69,329.85,331.65,172.55082275,57226.480365037496
1649606400,2022-04-10 16:00:00,BCH/USD,327.55,330.02,327.37,330.02,44.97716097,14843.3626633194
1649602800,2022-04-10 15:00:00,BCH/USD,328.15,328.72,326.88,326.88,104.60427907,34193.0467424016
1649599200,2022-04-10 14:00:00,BCH/USD,326.44,327.94,326.28,327.94,239.12648602,78419.1398253988
1649595600,2022-04-10 13:00:00,BCH/USD,325.42,326.63,325.29,326.63,99.04724953,32351.8031139839
1649592000,2022-04-10 12:00:00,BCH/USD,325.11,326.45,324.06,325.14,280.35107044,91153.3470428616
1649588400,2022-04-10 11:00:00,BCH/USD,324.39,325.47,324.05,325.12,186.35942744,60589.1770492928
1649584800,2022-04-10 10:00:00,BCH/USD,323.32,324.05,323.32,323.81,40.08644937,12980.3931704997
1649581200,2022-04-10 09:00:00,BCH/USD,324.45,324.45,323.10,323.10,93.05291733,30065.397589323
1649577600,2022-04-10 08:00:00,BCH/USD,325.29,326.76,323.21,324.71,248.64965793,80739.03042645029
1649574000,2022-04-10 07:00:00,BCH/USD,326.34,327.36,324.79,325.62,124.94946411,40686.0445034982
1649570400,2022-04-10 06:00:00,BCH/USD,325.33,326.16,324.76,326.16,75.84394922,24737.262477595203
1649566800,2022-04-10 05:00:00,BCH/USD,326.93,327.64,325.81,325.87,175.34309130,57139.053161931
1649563200,2022-04-10 04:00:00,BCH/USD,325.96,327.19,325.91,326.78,97.43824417,31840.8694298726
1649559600,2022-04-10 03:00:00,BCH/USD,327.20,327.29,327.10,327.10,14.80200000,4841.7342
1649556000,2022-04-10 02:00:00,BCH/USD,326.11,327.96,325.82,327.06,59.84925905,19574.298664893002
1649552400,2022-04-10 01:00:00,BCH/USD,325.16,326.43,325.16,325.98,79.68858466,25976.8848274668
1649548800,2022-04-10 00:00:00,BCH/USD,325.44,325.85,325.08,325.18,11.48060718,3733.2638427924
1649545200,2022-04-09 23:00:00,BCH/USD,326.31,326.31,324.41,325.86,144.12518056,46964.6313372816
1649541600,2022-04-09 22:00:00,BCH/USD,326.09,326.86,326.08,326.56,81.74558446,26694.8380612576
1649538000,2022-04-09 21:00:00,BCH/USD,324.57,326.54,324.48,326.54,206.06655993,67288.9744795422
1649534400,2022-04-09 20:00:00,BCH/USD,326.63,327.42,324.32,324.59,137.04436303,44483.2297959077
1649530800,2022-04-09 19:00:00,BCH/USD,325.82,327.17,325.60,327.17,85.00823881,27812.145491467698
1649527200,2022-04-09 18:00:00,BCH/USD,326.39,326.39,325.09,325.64,47.53058875,15477.86092055
1649523600,2022-04-09 17:00:00,BCH/USD,324.08,326.23,324.08,325.99,40.93725612,13345.1361225588
1649520000,2022-04-09 16:00:00,BCH/USD,323.60,325.87,323.60,324.38,73.96792893,23993.7167863134
1649516400,2022-04-09 15:00:00,BCH/USD,325.49,325.83,323.09,323.09,98.35794399,31778.468123729097
1649512800,2022-04-09 14:00:00,BCH/USD,324.50,324.93,322.79,324.88,118.05152320,38352.578857216
1649509200,2022-04-09 13:00:00,BCH/USD,326.87,326.87,324.93,324.94,80.52378070,26165.397300658
1649505600,2022-04-09 12:00:00,BCH/USD,325.37,326.92,325.16,326.68,97.81859102,31955.3773144136
1649502000,2022-04-09 11:00:00,BCH/USD,324.90,326.36,324.76,325.92,134.43991011,43816.6555030512
1649498400,2022-04-09 10:00:00,BCH/USD,324.41,324.92,322.71,324.09,100.50246620,32571.844270757996
1649494800,2022-04-09 09:00:00,BCH/USD,324.15,324.39,323.75,324.06,18.68304000,6054.425942399999
1649491200,2022-04-09 08:00:00,BCH/USD,324.44,324.54,323.23,324.54,51.17209405,16607.391402987
1649487600,2022-04-09 07:00:00,BCH/USD,324.05,324.73,323.33,324.58,69.73170000,22633.515186
1649484000,2022-04-09 06:00:00,BCH/USD,325.12,325.38,323.33,323.46,126.45805005,40904.120869173
1649480400,2022-04-09 05:00:00,BCH/USD,323.01,325.54,323.01,325.11,180.35286593,58634.5202425023
1649476800,2022-04-09 04:00:00,BCH/USD,323.85,325.66,322.90,322.95,164.67231692,53180.92474931399
1649473200,2022-04-09 03:00:00,BCH/USD,322.90,324.71,321.85,323.69,79.01885308,25577.6125534652
1649469600,2022-04-09 02:00:00,BCH/USD,326.75,326.75,323.05,323.05,146.96039035,47475.554102567505
1649466000,2022-04-09 01:00:00,BCH/USD,325.62,326.54,323.95,326.41,114.51495991,37378.828064223104
