https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ADA,Volume USD
1649631600,2022-04-10 23:00:00,ADA/USD,1.03248,1.04000,1.03248,1.03407,7621.63717292,7881.306351401385
1649628000,2022-04-10 22:00:00,ADA/USD,1.05500,1.05500,1.03554,1.03719,8787.16722751,9113.961976701099
1649624400,2022-04-10 21:00:00,ADA/USD,1.06190,1.06190,1.06190,1.06190,31.47608090,33.42445030771
1649620800,2022-04-10 20:00:00,ADA/USD,1.06832,1.06901,1.06736,1.06901,32865.52501347,35133.574894649566
1649617200,2022-04-10 19:00:00,ADA/USD,1.06209,1.06365,1.06209,1.06365,1250.84389849,1330.4601126288883
1649613600,2022-04-10 18:00:00,ADA/USD,1.06652,1.06707,1.06209,1.06209,3121.11556879,3314.905634456171
1649610000,2022-04-10 17:00:00,ADA/USD,1.05255,1.05727,1.05255,1.05415,2583.59443535,2723.4960740242022
1649606400,2022-04-10 16:00:00,ADA/USD,1.04524,1.04524,1.04524,1.04524,4811.56932335,5029.244719538354
1649602800,2022-04-10 15:00:00,ADA/USD,1.03688,1.03688,1.03688,1.03688,30.14116700,31.25277323896
1649599200,2022-04-10 14:00:00,ADA/USD,1.03412,1.03822,1.03412,1.03822,1317.30366207,1367.6510080343153
1649595600,2022-04-10 13:00:00,ADA/USD,1.03594,1.03594,1.03594,1.03594,0.00000000,0.0
1649592000,2022-04-10 12:00:00,ADA/USD,1.03520,1.03619,1.03520,1.03594,14493.31406847,15014.203776090812
1649588400,2022-04-10 11:00:00,ADA/USD,1.03354,1.03354,1.03354,1.03354,3354.07669342,3466.5724257173065
1649584800,2022-04-10 10:00:00,ADA/USD,1.03000,1.03000,1.03000,1.03000,50.00000000,51.5
1649581200,2022-04-10 09:00:00,ADA/USD,1.04000,1.04012,1.03800,1.03800,17637.57891496,18307.80691372848
1649577600,2022-04-10 08:00:00,ADA/USD,1.03732,1.03976,1.03732,1.03976,786.52672732,817.7990299982432
1649574000,2022-04-10 07:00:00,ADA/USD,1.03836,1.03836,1.03836,1.03836,0.00000000,0.0
1649570400,2022-04-10 06:00:00,ADA/USD,1.03836,1.03836,1.03836,1.03836,389.08880978,404.0142565231608
1649566800,2022-04-10 05:00:00,ADA/USD,1.05083,1.05083,1.05083,1.05083,0.00000000,0.0
1649563200,2022-04-10 04:00:00,ADA/USD,1.05083,1.05083,1.05083,1.05083,0.00000000,0.0
1649559600,2022-04-10 03:00:00,ADA/USD,1.05083,1.05083,1.05083,1.05083,0.00000000,0.0
1649556000,2022-04-10 02:00:00,ADA/USD,1.05021,1.05083,1.05021,1.05083,785.00000000,824.9015499999999
1649552400,2022-04-10 01:00:00,ADA/USD,1.04155,1.04694,1.04155,1.04694,1006.35787227,1053.5963107943537
1649548800,2022-04-10 00:00:00,ADA/USD,1.04237,1.04237,1.04237,1.04237,0.00000000,0.0
1649545200,2022-04-09 23:00:00,ADA/USD,1.03592,1.04237,1.03592,1.04237,5469.27784551,5701.011147824259
1649541600,2022-04-09 22:00:00,ADA/USD,1.03628,1.03628,1.03628,1.03628,2697.00000000,2794.8471600000003
1649538000,2022-04-09 21:00:00,ADA/USD,1.02915,1.03202,1.02915,1.03202,2731.95884004,2819.4361620980803
1649534400,2022-04-09 20:00:00,ADA/USD,1.03403,1.03403,1.03206,1.03206,229.00497084,236.3468702051304
1649530800,2022-04-09 19:00:00,ADA/USD,1.03268,1.03268,1.03128,1.03128,2178.47405374,2246.616722140987
1649527200,2022-04-09 18:00:00,ADA/USD,1.03410,1.03410,1.03333,1.03387,564.69162740,583.817732820038
1649523600,2022-04-09 17:00:00,ADA/USD,1.02714,1.03562,1.02714,1.03562,3197.50758864,3311.402808947357
1649520000,2022-04-09 16:00:00,ADA/USD,1.02785,1.03324,1.02785,1.03216,5669.62221491,5851.957265341506
1649516400,2022-04-09 15:00:00,ADA/USD,1.02668,1.02785,1.02507,1.02507,804.22939441,824.3914253278587
1649512800,2022-04-09 14:00:00,ADA/USD,1.03867,1.03867,1.03850,1.03850,2812.06727834,2920.33186855609
1649509200,2022-04-09 13:00:00,ADA/USD,1.03867,1.03867,1.03867,1.03867,32.50571900,33.76271515373
1649505600,2022-04-09 12:00:00,ADA/USD,1.03595,1.04166,1.03421,1.04166,19928.44367032,20758.662633625532
1649502000,2022-04-09 11:00:00,ADA/USD,1.03499,1.03788,1.03435,1.03788,300099.37475248,311467.1390681039
1649498400,2022-04-09 10:00:00,ADA/USD,1.03333,1.03333,1.03283,1.03283,3965.95770391,4096.160095329365
