unix,date,symbol,open,high,low,close,Volume AAVE,Volume USD
1649840400,2022-04-13 09:00:00,AAVE/USD,166.89,166.89,166.89,166.89,7.44357115,1242.2575892235
1649836800,2022-04-13 08:00:00,AAVE/USD,168.87,168.87,166.47,167.18,273.91887521,45793.7575576078
1649833200,2022-04-13 07:00:00,AAVE/USD,168.00,169.05,168.00,168.12,27.13257155,4561.527928986
1649829600,2022-04-13 06:00:00,AAVE/USD,169.66,169.66,169.66,169.66,7.64711710,1297.4098871859999
1649826000,2022-04-13 05:00:00,AAVE/USD,168.58,169.78,168.58,169.28,41.13724344,6963.7125695232
1649822400,2022-04-13 04:00:00,AAVE/USD,169.03,169.16,168.75,169.16,6.61910638,1119.6880352408
1649818800,2022-04-13 03:00:00,AAVE/USD,167.11,168.34,167.11,168.34,55.56337105,9353.537882557
1649815200,2022-04-13 02:00:00,AAVE/USD,166.24,167.59,166.24,166.98,241.97334511,40404.709166467794
1649811600,2022-04-13 01:00:00,AAVE/USD,165.83,166.06,165.83,166.05,13.10638734,2176.315617807
1649808000,2022-04-13 00:00:00,AAVE/USD,165.00,167.89,165.00,167.89,68.65279298,11526.1174134122
1649804400,2022-04-12 23:00:00,AAVE/USD,163.87,165.00,163.87,165.00,91.38135228,15077.9231262
1649800800,2022-04-12 22:00:00,AAVE/USD,161.68,163.23,161.35,163.23,33.20219247,5419.5938768781
1649797200,2022-04-12 21:00:00,AAVE/USD,161.84,163.73,161.84,163.39,8.31128278,1357.9804934242
1649793600,2022-04-12 20:00:00,AAVE/USD,161.49,161.54,160.54,161.03,32.90696056,5299.0078589768
1649790000,2022-04-12 19:00:00,AAVE/USD,160.18,161.20,159.99,161.20,82.28472142,13264.297092903998
1649786400,2022-04-12 18:00:00,AAVE/USD,164.00,164.55,161.32,161.82,105.60984213,17089.7846534766
1649782800,2022-04-12 17:00:00,AAVE/USD,166.06,167.48,165.56,165.56,64.46351222,10672.5790831432
1649779200,2022-04-12 16:00:00,AAVE/USD,166.58,168.31,165.97,165.97,92.20544613,15303.3378941961
1649775600,2022-04-12 15:00:00,AAVE/USD,166.00,168.02,166.00,167.64,80.11163510,13429.914508164
1649772000,2022-04-12 14:00:00,AAVE/USD,169.74,170.29,164.42,166.01,199.81811055,33171.8045324055
1649768400,2022-04-12 13:00:00,AAVE/USD,170.59,171.04,168.92,170.31,147.76082161,25165.145528399098
1649764800,2022-04-12 12:00:00,AAVE/USD,169.35,169.93,168.78,169.57,80.89762386,13717.8100779402
1649761200,2022-04-12 11:00:00,AAVE/USD,170.63,171.07,169.80,169.80,66.53723181,11298.021961338
